disease,description,symptoms,causes,treatment,medications,diagnosis,prevention,complications,when_to_see_doctor,source_url,source_name,last_updated
Common Cold,"The common cold is a mild infection of your upper respiratory tract (which includes your nose and throat). Colds are probably the most common illness. Adults have an average of 2-3 colds per year, and children have even more. Colds are more common in the winter and spring, but you can get them at any time. More than 200 different viruses can cause a cold, but rhinoviruses are the most common type. The viruses that cause colds are very contagious. They can spread from person to person through the air and close personal contact. You can also get infected when you touch something that has the virus on it and then touch your eyes, mouth, or nose. For example, you could get a cold after you shake hands with someone who has a cold or touch a doorknob that has the germs on it, and then touch your face. The symptoms of a common cold usually include:",The symptoms of a common cold usually include: • Sneezing • Stuffy nose (congestion) • Runny nose • Sore throat • Coughing • Headache The symptoms usually start a few days after you become infected with the virus. Some symptoms can last for 10-14 days.,"More than 200 different viruses can cause a cold, but rhinoviruses are the most common type. The viruses that cause colds are very contagious. They can spread from person to person through the air and close personal contact. You can also get infected when you touch something that has the virus on it and then touch your eyes, mouth, or nose. For example, you could get a cold after you shake hands with someone who has a cold or touch a doorknob that has the germs on it, and then touch your face.","There is no cure for the common cold. But there are treatments that can make you feel better while you wait for the cold to go away on its own: • Getting lots of rest. • Drinking plenty of fluids. • Using a clean humidifier or cool mist vaporizer. • Gargling with warm salt water. • Using saline nose drops or sprays. • Taking over-the-counterpainorcold and cough medicines. But you need to be careful with certain medicines:Children and teens should not take aspirin.Some cold and cough medicines contain ingredients that are not recommended for children. Talk with your childs health care provider before giving your child any cold and cough medicines.Some cold and cough medicines contain pain relievers. If you also take a separate pain reliever with these medicines, you could be getting a dangerous amount of the pain reliever. Read the labels on the medicines and follow the instructions carefully. If you have questions, ask your provider or a pharmacist. • Children and teens should not take aspirin. • Some cold and cough medicines contain ingredients that are not recommended for children. Talk with your childs health care provider before giving your child any cold and cough medicines. • Some cold and cough medicines contain pain relievers. If you also take a separate pain reliever with these medicines, you could be getting a dangerous amount of the pain reliever. Read the labels on the medicines and follow the instructions carefully. If you have questions, ask your provider or a pharmacist. Antibioticswill not help with a cold. Antibiotics help with bacterial infections, not with viral infections such as colds. Most people who have a cold will feel better after a week or two. However, some people who get a cold may develop other illnesses, such asbronchitisorpneumonia. This is more common in people with weakened immune systems,asthma, or other respiratory conditions. Contact your provider if you or your child have symptoms that concern you, such as: • Trouble breathing or fast breathing • Dehydration • Feverthat lasts longer than 4 days • Symptoms that last more than 10 days without improvement • Symptoms, such as fever or cough, that improve but then return or worsen • Worsening of chronic medical conditions",• Taking over-the-counterpainorcold and cough medicines. But you need to be careful with certain medicines:Children and teens should not take aspirin. Some cold and cough medicines contain ingredients that are not recommended for children.,Information not available on MedlinePlus page.,"There is no vaccine to protect against the common cold. But you may be able to reduce your risk of getting or spreading a cold by: • Washing your handsoften with soap and water for at least 20 seconds. • Avoiding touching your face, nose, or mouth with unwashed hands. • Avoiding close contact, such as kissing, shaking hands, and sharing cups and eating utensils, with others if you are sick or they are sick. • Cleaning and disinfecting surfaces that you frequently touch. • Covering coughs and sneezes with a tissue. Then throw away the tissue and wash your hands. • Staying home when sick. Centers for Disease Control and Prevention",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/commoncold.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Dengue,"Dengue is aviral infection. It can be caused by four related viruses. You can get it if an infectedmosquitobites you. It is common in warm, wet areas of the world. Although rare, it can be found in some parts of the United States. Outbreaks are more common during rainy seasons. Dengue spreads to people through the bite of an infected mosquito. It does not spread directly from person to person. However, the infection can be passed to the baby during pregnancy. In rare cases, it can spread through ablood transfusion,organ transplant, or needle stick injury (an accidental injury from a used needle).. About one in four people infected with dengue will get sick. For those who do get sick, the infection can be mild or severe. The symptoms of dengue include:","About one in four people infected with dengue will get sick. For those who do get sick, the infection can be mild or severe. The symptoms of dengue include: • A highfever • Nausea and vomiting • Rash • Aches and pains (eye pain, usually behind the eyes, and pain in the muscles, joints, or bones) The symptoms usually last two to seven days. Severe dengue is a serious form of the illness. About 1 in 20 people who get sick with dengue will develop severe dengue. It can causeshock, internal bleeding, and even death. People are more likely to develop severe dengue if they have had dengue before, are pregnant, or are infants. Watch for signs and symptoms of severe dengue. Warning signs usually begin about 24 - 48 hours after your fever has gone away. If you or your family member have these signs, get immediate medical care: • Severeabdominal (belly) painand tenderness • Vomiting at least 3 times in 24 hours • Bleeding from the nose or gums • Vomiting blood, or blood in the stool (poop) • Feeling tired, restless, or irritable",Information not available on MedlinePlus page.,There is no specific medicine to treat dengue. Most people will get better after about a week. But if you think you might have dengue: • See a health care provider and mention any recent travel. • Rest as much as possible. • Take acetaminophen to control fever and relieve pain. But donottake aspirin or ibuprofen. • Drink plenty of fluids to preventdehydration. Severe dengue often requires care at a hospital.,There is no specific medicine to treat dengue.,There is ablood testwhich can show if you have been infected with dengue.,"In the United States, a dengue vaccine is approved for children who are ages 9 - 16. They must also have previously had dengue and live in areas where dengue is common. You can also help prevent dengue by avoiding mosquito bites: • Wear insect repellent with DEET or another U.S. Environmental Protection Agency (EPA)-registered insect repellent. Make sure to follow the instructions for using the repellant. • Wear clothes that cover your arms, legs and feet. • Close unscreened doors and windows. Centers for Disease Control and Prevention",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/dengue.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Diabetes ,"Diabetes  is a medical condition. For detailed information, please consult a healthcare professional.",Symptoms vary. Consult a healthcare professional for accurate diagnosis.,Multiple factors may contribute to this condition.,Treatment options are available. Consult a healthcare professional for personalized treatment plan.,Consult a healthcare professional for medication recommendations.,Professional medical diagnosis is required.,Preventive measures vary. Consult a healthcare professional.,Complications may occur if left untreated.,Seek medical attention if you experience concerning symptoms.,https://medlineplus.gov/,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Dimorphic hemmorhoids(piles),"Hemorrhoids are swollen, inflamed veins around youranusor the lower part of yourrectum. There are two types: Hemorrhoids happen when there is too much pressure on the veins around the anus. This can be caused by: The symptoms of hemorrhoids depend on which type you have:","The symptoms of hemorrhoids depend on which type you have: With external hemorrhoids, you may have: • Anal itching • One or more hard, tender lumps near your anus • Anal pain, especially when sitting Too much straining, rubbing, or cleaning around your anus may make your symptoms worse. For many people, the symptoms of external hemorrhoids go away within a few days. With internal hemorrhoids, you may have: • Bleeding from your rectum - you would see bright red blood in your stool, on toilet paper, or in the toilet bowl after a bowel movement • Prolapse, which is a hemorrhoid that has fallen through your anal opening Internal hemorrhoids are usually not painful unless they are prolapsed. Prolapsed internal hemorrhoids may cause pain and discomfort.",Hemorrhoids happen when there is too much pressure on the veins around the anus. This can be caused by: • Straining duringbowel movements. • Sitting on the toilet for long periods of time. • Chronicconstipationordiarrhea. • A low-fiberdiet. • Weakening of the supporting tissues in your anus and rectum. This can happen with aging andpregnancy. • Frequently lifting heavy objects.,"If at-home treatments for hemorrhoids dont help you, you may need a medical procedure. There are several different procedures that your provider can do in the office. These procedures use different techniques to cause scar tissue to form in the hemorrhoids. This cuts off the blood supply, which usually shrinks the hemorrhoids. In severe cases, you may need surgery.",Medication information included in treatment plan. Consult a healthcare professional.,"To find out if you have hemorrhoids, your health care provider: • Will ask about your medical history. • Will do a physical exam. Often providers can diagnose external hemorrhoids by looking at the area around your anus. • Will do a digital rectal exam to check for internal hemorrhoids. For this, the provider will insert a lubricated, gloved finger into the rectum to feel for anything that is abnormal. • May do procedures such as ananoscopyto check for internal hemorrhoids.",You can help prevent hemorrhoids by: • Eating foods that are high in fiber • Taking a stool softener or a fiber supplement • Drinking enough fluids every day • Not straining during bowel movements • Not sitting on the toilet for long periods of time NIH: National Institute of Diabetes and Digestive and Kidney Diseases,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/hemorrhoids.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Drug Reaction,"Most of the time, medicines make our lives better. They reduce aches and pains, fight infections, and control problems such as high blood pressure or diabetes. But medicines can also cause unwanted reactions, such as drug interactions, side effects, and allergies. A drug interaction is a change in the way a drug acts in the body when taken with certain other drugs, foods, or supplements or when taken while you have certain medical conditions. Examples include: Interactions could cause a drug to be more or less effective, cause side effects, or change the way one or both drugs work.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Medication information included in treatment plan. Consult a healthcare professional.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/drugreactions.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Fungal infection,"If you have ever hadathletes footor ayeast infection, you can blame a fungus. A fungus is a primitive organism. Mushrooms,moldand mildew are examples. Fungi live in air, in soil, on plants and in water. Some live in the human body. Only about half of all types of fungi are harmful. Some fungi reproduce through tiny spores in the air. You can inhale the spores or they can land on you. As a result, fungal infections often start in the lungs or on the skin. You are more likely to get a fungal infection if you have a weakened immune system or take antibiotics. Fungi can be difficult to kill. For skin and nail infections, you can apply medicine directly to the infected area. Oral antifungal medicines are also available for serious infections.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Medication information included in treatment plan. Consult a healthcare professional.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/fungalinfections.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
GERD,"Sometimes, after eating a large meal or lying down too soon after eating, you might feel acid coming up into your throat. This is called gastroesophageal reflux (GER). It happens when the muscle at the end of your esophagus (the tube that carries food from your mouth to your stomach) doesnt close properly. Stomach contents can then move back up and irritate the esophagus. Having reflux occasionally is common. But if you have symptoms two or more times a week or if they cause damage to the lining of your esophagus, you may have gastroesophageal reflux disease (GERD). GERD is a chronic (long-lasting) condition that can cause discomfort and, over time, lead to other health problems. Anyone can have GERD, includinginfantsandchildren.","The most common symptom of GERD isheartburn. This is a burning feeling in your chest or throat. You can also have GERD without having heartburn. Other symptoms may include: • Tasting acid or food in the back of your mouth • A drycoughor hoarse voice • Asthma-like symptoms • Trouble swallowing Get medical help right away if you havechest painwithshortness of breath, or pain in your jaw or arm. These can be signs of a heart problem.","GERD can happen when the muscle at the bottom of your esophagus becomes weak or relaxes at the wrong time. You are more likely to have GERD if you: • Are overweight or haveobesity • Arepregnant • Smokeor are aroundsecondhand smoke • Have ahiatal hernia(when part of the stomach pushes up into the chest) Certain foods, drinks, or medicines can also make GERD worse.",Information not available on MedlinePlus page.,Medication information included in treatment plan. Consult a healthcare professional.,Your health care provider will ask about your symptoms and medical history. They may recommend tests such as: • Upper GIendoscopyto look at the esophagus and stomach lining with a tiny camera. • Biopsyto check a small tissue sample. • X-Rayto take pictures of the upper digestive system. • Esophageal pH testto measure how often acid backs up the esophagus and how long the acid stays there. • Esophageal manometryto check how well your esophagus moves food when you swallow. • Transnasal esophagoscopyto look for damage to the esophagus by using a small tube with a camera.,You may be able to improve symptoms of GERD by: • Avoidingalcoholand trigger foods • Eating smaller meals • Not eating close to bedtime • Wearing loose-fitting clothes • Sleeping on your left side or raising the head of your bed • Maintaining a healthy weight NIH: National Institute of Diabetes and Digestive and Kidney Diseases,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/gerd.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Gastroenteritis,"Gastroenteritis is an inflammation of the lining of the stomach and intestines. The main symptoms includevomitinganddiarrhea. It is usually not serious in healthy people, but it can sometimes lead todehydrationor cause severe symptoms. There can be many different causes of gastroenteritis: Viral gastroenteritis is the most common type. It can be caused by many different viruses, includingnorovirusesandrotaviruses. Some people call viral gastroenteritis the stomach flu. But this name is not medically correct. It is not caused byfluviruses. The flu is a respiratory infection that affects your nose, throat and lungs.","The symptoms of gastroenteritis include: • Diarrhea • Painor cramping in your abdomen (belly) • Nausea • Vomiting • Sometimesfever Gastroenteritis is usually not serious. But it can sometimes cause lead to dehydration or cause severe symptoms. Certain people are at higher risk for these problems. They include: • Pregnant women • Older adults • People with weakened immune systems or other serious health conditions • Infants • Babies who wereborn prematurelyor have other health conditions If you or a family member are at higher risk and have symptoms of gastroenteritis, contact a health care provider right away. Even if you are not at high risk, it is possible to become dehydrated or have more serious symptoms. There are some warning signs to watch for. Its important to contact a provider right away if you or your child have any of them: • Foradults,they include:Change in mental state, such as irritability or lack of energyDiarrhea lasting more than 2 daysHigh feverVomiting oftenSix or more loose stools in a daySevere pain in the abdomen (belly) or rectumStools that are black and tarry or contain blood or pusSymptoms of dehydration, such as thirst,dry mouth, headache, dark-colored urine, and urinating less than normal • Change in mental state, such as irritability or lack of energy • Diarrhea lasting more than 2 days • High fever • Vomiting often • Six or more loose stools in a day • Severe pain in the abdomen (belly) or rectum • Stools that are black and tarry or contain blood or pus • Symptoms of dehydration, such as thirst,dry mouth, headache, dark-colored urine, and urinating less than normal • Forinfants and children,they include:Change in the childs mental state, such as irritability or lack of energyDiarrhea lasting more than a dayAny fever in infantsHigh fever in older childrenFrequent loose stoolsVomiting oftenSevere pain in the abdomen (belly) or rectumSigns or symptoms of dehydration, such as thirst, dry mouth, urinating less than usual or no wet diapers for 3 hours or more, and no tears when cryingStools that are black and tarry or contain blood or pus • Change in the childs mental state, such as irritability or lack of energy • Diarrhea lasting more than a day • Any fever in infants • High fever in older children • Frequent loose stools • Vomiting often • Severe pain in the abdomen (belly) or rectum • Signs or symptoms of dehydration, such as thirst, dry mouth, urinating less than usual or no wet diapers for 3 hours or more, and no tears when crying • Stools that are black and tarry or contain blood or pus","There can be many different causes of gastroenteritis: • Viruses • Bacteria • Parasites • Chemicals • Reactions to certainmedicinesand food Viral gastroenteritis is the most common type. It can be caused by many different viruses, includingnorovirusesandrotaviruses. Some people call viral gastroenteritis the stomach flu. But this name is not medically correct. It is not caused byfluviruses. The flu is a respiratory infection that affects your nose, throat and lungs. When gastroenteritis is caused by consuming foods or drinks contaminated with viruses, bacteria, parasites, or chemicals, this is calledfood poisoning. The viruses, bacteria, and parasites that cause gastroenteritis can also spread from person to person. You could be infected when you touch something that has the germs on it and then touch your eyes, mouth, or nose.","Usually, people with gastroenteritis get better on their own, with rest and plenty offluids and electrolytes. Your provider may suggest that you take a probiotic. Studies suggest that some probiotics may help shorten a case of diarrhea. People with more severe symptoms may need medicines to control nausea or vomiting. Providers may also give other medicines for certain types of gastroenteritis, such asantibioticsfor some bacterial types and antiparasitic medicines for some parasitic types.","People with more severe symptoms may need medicines to control nausea or vomiting. Providers may also give other medicines for certain types of gastroenteritis, such asantibioticsfor some bacterial types and antiparasitic medicines for some parasitic types.","To find out if you have gastroenteritis, your provider: • Will do a physical exam • Will ask about your symptoms • May do tests of your stool","Gastroenteritis cannot always be prevented. Butproper hand washing,cleaning surfacesthat may be infected with germs, andsafe food preparationmay help prevent some of the infections that can cause gastroenteritis. There are vaccines for infants to protect against rotavirus infections. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/gastroenteritis.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Heart attack,"Each year almost 800,000 Americans have a heart attack. A heart attack happens when blood flow to the heart suddenly becomes blocked. Without the blood coming in, the heart cant get oxygen. If not treated quickly, the heart muscle begins to die. But if you do get quick treatment, you may be able to prevent or limit damage to the heart muscle. Thats why its important to know the symptoms of a heart attack and call 911 if you or someone else is having them. You should call, even if you are not sure that it is a heart attack. The most common symptoms in men and women are: You may also have other symptoms, such as nausea, vomiting, dizziness, and lightheadedness. You may break out in a cold sweat. Sometimeswomenwill have different symptoms then men. For example, they are more likely to feel tired for no reason.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Medication information included in treatment plan. Consult a healthcare professional.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/heartattack.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Hepatitis B,"Hepatitisis inflammation of theliver. Inflammation is swelling that happens when tissues of the body are injured or infected. It can damage your liver. This swelling and damage can affect how well your liver functions. Hepatitis B is a type of viral hepatitis. It can cause an acute (short-term) or chronic (long-term) infection. People with an acute infection usually get better on their own without treatment. Some people with chronic hepatitis B will need treatment. Thanks to a vaccine, hepatitis B is not very common in the United States. It is more common in certain parts of the world, such as sub-Saharan Africa and parts of Asia.","Often, people with hepatitis B dont have symptoms. Adults and children over 5 are more likely to have symptoms than younger children. Some people with acute hepatitis B have symptoms 2 to 5 months after infection. These symptoms can include: • Dark yellow urine • Diarrhea • Fatigue • Fever • Gray- or clay-colored stools • Joint pain • Loss of appetite • Nausea and/or vomiting • Abdominal pain • Yellowish eyes and skin, calledjaundice If you have chronic hepatitis B, you may not have symptoms until complications develop. This could be decades after you were infected. For this reason, hepatitis B screening is important, even if you have no symptoms. Screening means that you are tested for a disease even though you dont have symptoms. If you are at high risk, your health care provider may suggest screening.","Hepatitis B is caused by the hepatitis B virus. The virus spreads through contact with blood, semen, or other body fluids from a person who has the virus. In rare cases, acute hepatitis B can cause liver failure. Chronic hepatitis B can develop into a serious disease that causes long-term health problems such ascirrhosis(scarring of the liver),liver cancer, and liver failure. If you have ever had hepatitis B, the virus may become active again, or reactivated, later in life. This could start to damage the liver and cause symptoms.","If you have acute hepatitis B, you probably dont need treatment. Some people with chronic hepatitis B dont need treatment. But if you have a chronic infection and blood tests show that hepatitis B could be damaging your liver, you may need to take antiviral medicines.","But if you have a chronic infection and blood tests show that hepatitis B could be damaging your liver, you may need to take antiviral medicines.","To diagnose hepatitis B, your health care provider may use many tools to make a diagnosis: • A medical history, which includes asking about your symptoms • A physical exam • Blood tests, includingtests for viral hepatitis","The best way to prevent hepatitis B is to get the hepatitis B vaccine. You can also reduce your chance of hepatitis B infection by: • Not sharing drug needles or other drug materials • Wearing gloves if you have to touch another persons blood or open sores • Making sure yourtattoo artist or body pierceruses sterile tools • Not sharing personal items, such as toothbrushes, razors, or nail clippers • Using a latex condom during sex. If your or your partner isallergic to latex, you can use polyurethane condoms. If you think you have been in contact with the hepatitis B virus, see your health care provider right away. Your provider may give you a dose of the hepatitis B vaccine to prevent infection. In some cases, your provider may also give you a medicine called hepatitis B immune globulin (HBIG). You need to get the vaccine and the HBIG (if needed) as soon as possible after coming into contact with the virus. It is best if you can get them within 24 hours. National Institute of Diabetes and Digestive and Kidney Diseases",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/hepatitisb.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Hepatitis C,"Hepatitisis inflammation of the liver. Inflammation is swelling that happens when tissues of the body are injured or infected. Inflammation can damage organs. There are different types of hepatitis. One type, hepatitis C, is caused by the hepatitis C virus (HCV). Hepatitis C can range from a mild illness lasting a few weeks to a serious, lifelong illness. Hepatitis C can be acute or chronic:","Most people with hepatitis C have no symptoms. Some people with acute hepatitis C do have symptoms within 1 to 3 months after they are exposed to the virus. These symptoms may include: • Dark yellow urine • Fatigue • Fever • Gray- or clay-colored stools • Joint pain • Loss of appetite • Nausea and/or vomiting • Pain in your abdomen(belly) • Jaundice(yellowish eyes and skin) If you have chronic hepatitis C, you probably will not have symptoms until it causes complications. This can happen decades after you were infected. For this reason, hepatitis C screening is important, even if you have no symptoms.","Without treatment, hepatitis C may lead to cirrhosis, liver failure, and liver cancer. Early diagnosis and treatment of hepatitis C can prevent these complications.","Treatment for hepatitis C is with antiviral medicines. They can cure the disease in most cases. If you have acute hepatitis C, your provider may wait to see if your infection becomes chronic before starting treatment. If your hepatitis C causes cirrhosis, you should see a doctor who specializes in liver diseases. Treatments for health problems related to cirrhosis include medicines, surgery, and other medical procedures. If your hepatitis C leads to liver failure or liver cancer, you may need aliver transplant.","Treatment for hepatitis C is with antiviral medicines. Treatments for health problems related to cirrhosis include medicines, surgery, and other medical procedures.","Providers diagnose hepatitis C based on your medical history, a physical exam, andblood tests. If you do have hepatitis C, you may need additional tests to check for liver damage. These tests may include other blood tests, anultrasoundof the liver, and a liverbiopsy.","There is no vaccine for hepatitis C. But you can help protect yourself from hepatitis C infection by: • Not sharing drug needles or other drug materials. • Wearing gloves if you have to touch another persons blood or open sores. • Making sure your tattoo artist or body piercer uses sterile tools and unopened ink. • Not sharing personal items such toothbrushes, razors, or nail clippers. • Using a latex condom during sex. If your or your partner isallergic to latex, you can use polyurethane condoms. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/hepatitisc.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Hepatitis D,Unable to retrieve information from MedlinePlus.,Information not available.,Information not available.,Information not available.,Consult a healthcare professional for medication recommendations.,Information not available.,Information not available.,Information not available.,Information not available.,https://medlineplus.gov/hepatitisd.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Hepatitis E,Unable to retrieve information from MedlinePlus.,Information not available.,Information not available.,Information not available.,Consult a healthcare professional for medication recommendations.,Information not available.,Information not available.,Information not available.,Information not available.,https://medlineplus.gov/hepatitise.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Hypertension ,"Hypertension  is a medical condition. For detailed information, please consult a healthcare professional.",Symptoms vary. Consult a healthcare professional for accurate diagnosis.,Multiple factors may contribute to this condition.,Treatment options are available. Consult a healthcare professional for personalized treatment plan.,Consult a healthcare professional for medication recommendations.,Professional medical diagnosis is required.,Preventive measures vary. Consult a healthcare professional.,Complications may occur if left untreated.,Seek medical attention if you experience concerning symptoms.,https://medlineplus.gov/,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Hyperthyroidism,"Hyperthyroidism, or overactive thyroid, happens when yourthyroidgland makes more thyroid hormones than your body needs. Your thyroid is a small, butterfly-shaped gland in the front of your neck. It makes hormones that control the way the body uses energy. These hormones affect nearly every organ in your body and control many of your bodys most important functions. For example, they affect your breathing, heart rate, weight, digestion, and moods. If not treated, hyperthyroidism can cause serious problems with your heart, bones, muscles, menstrual cycle, and fertility. But there are treatments that can help. Hyperthyroidism has several causes. They include:","The symptoms of hyperthyroidism can vary from person to person and may include: • Nervousness or irritability • Fatigue • Muscle weakness • Trouble tolerating heat • Trouble sleeping • Tremor, usually in your hands • Rapid andirregular heartbeat • Frequent bowel movements ordiarrhea • Weight loss • Mood swings • Goiter, an enlarged thyroid that may cause your neck to look swollen. Sometimes it can cause trouble with breathing or swallowing. Adults over age 60 may have different symptoms than younger adults. For example, they may lose their appetite or withdraw from other people. Sometimes this can be mistaken fordepressionordementia.","Hyperthyroidism has several causes. They include: • Graves disease, an autoimmune disorder in which your immune system attacks your thyroid and causes it to make too much hormone. This is the most common cause. • Thyroid nodules, which are growths on your thyroid. They are usually benign (not cancer). But they may become overactive and make too much thyroid hormone. Thyroid nodules are more common in older adults. • Thyroiditis, inflammation of the thyroid. It causes stored thyroid hormone to leak out of your thyroid gland. • Too much iodine. Iodine is found in some medicines, cough syrups, seaweed and seaweed-based supplements. Taking too much of them can cause your thyroid to make too much thyroid hormone. • Too much thyroid medicine. This can happen if people who take thyroid hormone medicine forhypothyroidism(underactive thyroid) take too much of it. If hyperthyroidism isnt treated, it can cause some serious health problems, including: • An irregular heartbeat that can lead toblood clots,stroke,heart failure, and otherheart problems • An eye disease called Graves ophthalmopathy. It can cause double vision, light sensitivity, and eye pain. In rare cases, it can lead tovision loss. • Thinning bones andosteoporosis • Fertility problems in women • Complications in pregnancy,such aspremature birth,low birth weight,high blood pressure in pregnancy, andmiscarriage","The treatments for hyperthyroidism include medicines, radioiodine therapy, and thyroid surgery: • Medicinesfor hyperthyroidism includeAntithyroid medicines, which cause your thyroid to make less thyroid hormone. You probably need to take the medicines for 1 to 2 years. In some cases, you might need to take the medicines for several years. This is the simplest treatment, but it is often not a permanent cure.Beta blocker medicines, which can reduce symptoms such as tremors, rapid heartbeat, and nervousness. They work quickly and can help you feel better until other treatments take effect. • Antithyroid medicines, which cause your thyroid to make less thyroid hormone. You probably need to take the medicines for 1 to 2 years. In some cases, you might need to take the medicines for several years. This is the simplest treatment, but it is often not a permanent cure. • Beta blocker medicines, which can reduce symptoms such as tremors, rapid heartbeat, and nervousness. They work quickly and can help you feel better until other treatments take effect. • Radioiodine therapyis a common and effective treatment for hyperthyroidism. It involves taking radioactive iodine by mouth as a capsule or liquid. This slowly destroys the cells of the thyroid gland that produce thyroid hormone. It does not affect other body tissues. Almost everyone who has radioactive iodine treatment later develops hypothyroidism. This is because the thyroid hormone-producing cells have been destroyed. But hypothyroidism is easier to treat and causes fewer long-term health problems than hyperthyroidism. • Surgeryto remove part or most of the thyroid gland is done in rare cases. It might be an option for people with large goiters or pregnant women who cannot take antithyroid medicines. If you have all of your thyroid removed, you will need to take thyroid medicines for the rest of your life. Some people who have part of their thyroid removed also need to take medicines. If you have hyperthyroidism, its important not to get too much iodine. Talk to your health care provider about which foods, supplements, and medicines you need to avoid. NIH: National Institute of Diabetes and Digestive and Kidney Diseases","The treatments for hyperthyroidism include medicines, radioiodine therapy, and thyroid surgery: • Medicinesfor hyperthyroidism includeAntithyroid medicines, which cause your thyroid to make less thyroid hormone. You probably need to take the medicines for 1 to 2 years. In some cases, you might need to take the medicines for several years.","Your health care provider may use many tools to make a diagnosis: • A medical history, including asking about symptoms • A physical exam • Thyroid tests, such asTSH,T3,T4, andthyroid antibody blood testsImaging tests, such as a thyroid scan,ultrasound, or radioactive iodine uptake test. A radioactive iodine uptake test measures how much radioactive iodine your thyroid takes up from your blood after you swallow a small amount of it. • TSH,T3,T4, andthyroid antibody blood tests • Imaging tests, such as a thyroid scan,ultrasound, or radioactive iodine uptake test. A radioactive iodine uptake test measures how much radioactive iodine your thyroid takes up from your blood after you swallow a small amount of it.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/hyperthyroidism.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
